Target	a1	a2	a3	a4	a5
hearing	aid	ear	deaf	sight	sound
heat	cold	sun	hot	warm	warmth
heather	scotland	heath	moors	gorse	hills
heating	central	warm	fire	warmth	hot
heaven	hell	earth	god	sent	above
heaving	sea	pulling	sick	sigh	sighing
heavy	light	weight	lead	load	duty
hectic	life	rush	busy	day	fast
hedges	green	fields	ditches	privet	rows
helmet	hat	head	crash	soldier	tin
help	aid	me	beatles	cry	mate
helpless	baby	weak	hopeless	alone	child
henry	eighth	viii	king	james	eight
her	his	him	hair	own	she
heraldry	shield	arms	pageantry	trumpet	shields
hero	heroine	worship	brave	man	villain
hexagonal	six	shape	square	geometry	figure
hick	hock	up	cup	cough	ups
hiding	place	seeking	secret	seek	behind
hill	climb	mountain	top	dale	slope
hilltop	view	summit	crest	high	peak
hindered	stopped	helped	delayed	prevented	hampered
hippopotamus	animal	mud	fat	zoo	africa
hippy	flowers	hair	happy	shake	flower
hiss	boo	snake	steam	piss	spit
hod	coal	bricks	carrier	brick	bricklayer
hold	tight	grasp	on	grip	hand
hole	ground	golf	dig	rabbit	pit
holiness	pope	church	his	god	priest
holster	gun	cowboy	shoulder	bolster	chair
homework	school	work	prep	books	study
hoof	horse	cow	foot	horn	shoe
hop	skip	jump	beer	scotch	dance
hopeless	useless	lost	case	helpless	life
hops	beer	jumps	kent	skips	barley
horizon	sea	sky	distance	distant	sun
host	guest	hostess	parasite	party	communion
hostage	prisoner	captive	war	enemy	hijack
hot	cold	cool	dog	house	humid
hovel	hole	slum	house	hut	home
however	but	never	nevertheless	when	although
hundred	thousand	one	century	years	cent
hunter	hunted	gun	animal	horse	dog
hunting	deer	shooting	fox	horn	fishing
hurry	up	quick	quickly	rush	fast
hypothalamus	brain	hippopotamus	pituitary	gland	what
ideal	milk	home	perfect	man	girl
idealist	realist	me	marx	fascist	good
idol	god	pop	worship	gold	golden
if	but	not	only	maybe	perhaps
ignorant	stupid	peasant	thick	fool	people
imaginary	mind	real	dream	ghost	unreal
immunity	injection	safe	disease	free	vaccination
impatient	patient	hurry	angry	temper	happy
imprecise	inaccurate	vague	wrong	inexact	accurate
inclination	slope	lean	desire	want	angle
include	exclude	also	in	me	with
incognito	unknown	disguise	spy	disguised	hiding
incorrect	wrong	right	correct	answer	mistake
indeed	yes	really	not	well	why
indefinite	article	vague	uncertain	infinite	unknown
individuality	self	me	person	one	personality
industrial	factory	dispute	estate	revolution	work
inevitable	fate	obvious	unavoidable	death	end
infant	child	baby	school	prodigy	boy
inferior	superior	below	complex	being	low
infinity	end	endless	space	ever	god
inhuman	cruel	animal	monster	beast	cruelty
injury	hurt	blood	harm	pain	leg
injustice	justice	law	wrong	unfair	court
inner	outer	inside	self	circle	tube
insect	fly	ant	spider	bee	bite
insecure	unsafe	loose	alone	feeling	frightened
insecurity	unsafe	complex	fear	unstable	worry
insensitive	hard	thick	cold	unfeeling	dull
inspire	expire	help	thought	encourage	never
instant	coffee	now	quick	moment	second
instructions	orders	read	rules	obey	words
insufferable	unbearable	pain	bore	intolerable	hate
insurance	policy	broker	company	life	money
intellect	intelligence	brain	mind	clever	brains
interested	bored	keen	disinterested	party	involved
interesting	book	good	boring	very	exciting
intestine	gut	stomach	guts	bladder	small
ironing	board	clothes	washing	shirts	flat
island	sea	sun	water	desert	continent
issue	give	magazine	paper	forth	stamp
jacket	coat	pocket	sports	black	clothes
jaffa	orange	cake	max	cakes	fruit
jailer	prison	keys	water	jail	key
jar	jam	honey	pot	glass	container
jaundice	yellow	ill	bias	bile	blood
jelly	wobble	fish	baby	cream	blancmange
jesus	christ	god	said	saves	lives
jewel	diamond	gem	ring	crown	ruby
jingle	jangle	bells	song	tune	money
job	work	money	employment	good	hunting
jokes	laugh	funny	laughs	laughter	dirty
jottings	notes	scribble	doodles	paper	doodle
joy	happiness	sorrow	happy	ride	laughter
jubilation	joy	happiness	happy	coronation	fun
judge	jury	wig	court	justice	law
jug	water	milk	brown	handle	punch
jugular	vein	blood	jaguar	neck	catch
juices	fruit	orange	gastric	lemon	digestive
july	august	summer	sun	june	month
june	july	moon	summer	may	sun
junior	senior	school	child	partner	younger
karate	chop	judo	blow	chinese	expert
keen	sharp	eager	blade	knife	mustard
keeping	house	fit	holding	in	time
keg	beer	bitter	rum	barrel	ale
kept	woman	clean	held	retained	alive
kettle	boil	tea	water	steam	pot
keyboard	piano	music	organ	typewriter	instrument
kids	children	goats	goat	noise	family
killer	whale	murderer	instinct	murder	death
kindliness	good	nice	gentle	gentleness	friendliness
kindness	love	generosity	gentle	goodness	nice
kipper	fish	fillet	herring	breakfast	smell
kiss	me	lips	love	mouth	boy
kitchen	sink	food	knife	utensil	maid
kite	fly	wind	bird	sky	string
kitten	cat	soft	fur	wool	puppy
knave	cards	hearts	jack	knight	card
knob	door	handle	butter	penis	turn
knot	tie	rope	string	reef	ship
knowledge	books	book	learning	intelligence	wisdom
lacking	without	missing	wanting	needing	devoid
ladder	rung	steps	stocking	climb	step
lady	man	woman	gentleman	lord	madonna
lagging	behind	pipes	pipe	slow	tank
lake	water	loch	pond	sea	swan
lambs	sheep	chops	wool	spring	chop
landlord	landlady	pub	rent	tenant	flat
landscape	garden	painting	scenery	green	artist
lanky	tall	thin	long	lean	hair
lap	dog	knee	land	sit	race
large	small	big	size	building	huge
lasting	ever	long	forever	love	eternal
latest	news	new	newest	earliest	last
lather	soap	shave	foam	wash	shaving
laughing	crying	happy	fun	gas	joke
laughter	smile	joy	happy	sorrow	tears
laundrette	washing	wash	clothes	clean	water
lawyer	court	barrister	law	solicitor	judge
lawyers	court	law	money	solicitors	wigs
layers	cake	bricks	strata	rock	thick
lazy	idle	me	tired	dog	sunday
lea	meadow	river	sea	valley	way
leaking	roof	water	pipe	drip	wet
leaky	wet	roof	tap	hole	pipe
leap	jump	frog	year	bound	look
learn	teach	read	book	forget	how
leaver	school	left	starter	pull	beaver
leaving	going	home	left	school	gone
leer	grin	laugh	king	look	sneer
lees	please	wind	macaroon	dregs	fleas
legend	story	myth	tale	key	history
legislate	law	laws	government	parliament	rule
lemonade	drink	fizz	fizzy	pop	bottle
lemons	oranges	bitter	sour	fruit	yellow
lesson	learn	teach	teacher	lecture	school
lethal	deadly	weapon	dangerous	death	dead
lettuce	leaf	salad	green	cabbage	rabbit
lichen	moss	green	plant	tundra	leech
licking	dog	tongue	lips	cat	lollipop
life	death	love	magazine	long	time
lighter	fuel	cigarette	heavier	cigarettes	gas
lily	white	flower	valley	pond	pink
limb	leg	arm	legs	tree	body
limited	company	restricted	time	unlimited	few
lines	straight	paper	railway	school	train
lino	floor	cold	carpet	cut	tile
lit	fire	light	match	up	candle
living	dead	dying	death	alive	doll
loaded	gun	full	money	drunk	question
loath	hate	unwilling	despise	loathsome	love
location	place	film	here	spot	filming
locked	key	door	out	in	shut
locket	chain	hair	heart	picture	pocket
locomotive	train	engine	steam	car	dance
log	fire	wood	book	cabin	tree
logs	fire	wood	tables	burn	maths
london	city	town	bridge	home	capital
lonely	sad	alone	heart	old	cloud
lonesome	alone	lonely	cowboy	road	happy
longitudinal	latitudinal	line	length	horizontal	latitude
loom	weave	wool	weaving	over	ahead
loot	money	booty	swag	cash	army
lope	wolf	run	elope	antelope	along
lorries	cars	trucks	vans	noise	buses
lorry	driver	car	truck	load	van
lose	find	win	lost	money	search
loth	hate	sloth	unwilling	against	reluctant
louis	armstrong	king	xiv	france	fifteenth
loveliness	beauty	love	nice	beautiful	flower
low	high	down	gas	tide	ball
lowest	highest	bottom	low	point	minimum
luggage	suitcase	bag	rack	baggage	bags
lung	cancer	breath	heart	air	breathe
luxury	flat	comfort	house	money	hotel
lying	down	flat	bed	truth	cheating
machines	tools	men	computers	engines	noise
mackerel	fish	bones	cod	herring	holy
madam	sir	lady	woman	miss	monsieur
madness	insanity	insane	sanity	asylum	daft
magazine	glossy	paper	pictures	playboy	book
maiden	virgin	girl	head	aunt	name
major	minor	general	army	sergeant	colonel
maker	god	creator	manufacturer	breaker	made
malice	hate	spite	hatred	evil	bad
malleable	ductile	soft	metal	pliable	hammer
manchester	city	united	rain	university	england
maniac	sex	mad	depressive	lunatic	madman
manners	man	polite	good	bad	table
mansion	house	large	polish	rich	home
mantis	praying	preying	insect	pray	what
mare	horse	foal	stallion	night	sea
marrow	bone	vegetable	jelly	garden	cucumber
masculine	feminine	male	hair	man	gender
mason	stone	free	house	builder	perry
masses	people	church	crowd	crowds	many
massive	huge	big	large	great	mountain
masters	school	teachers	art	mistress	mistresses
masts	ships	ship	sails	boats	boat
masturbate	sex	wank	natural	bed	boy
material	cloth	dress	stuff	cotton	clothes
mates	friends	play	flat	pals	sex
mathematics	sums	school	algebra	figures	numbers
maths	physics	sums	subject	book	hard
matron	hospital	nurse	sister	mother	aunt
matters	important	affairs	business	cares	not
me	you	i	myself	us	ego
meal	food	eat	time	hungry	ticket
meaningless	useless	nothing	rubbish	meaningful	this
measure	ruler	inch	weight	pint	tape
meet	see	people	encounter	hounds	girl
meeting	place	people	parting	committee	point
melancholy	sad	happy	mood	sadness	anatomy
melody	tune	song	maker	music	harmony
melt	ice	snow	butter	water	pot
menace	dennis	threat	danger	threaten	nuisance
mental	health	hospital	illness	mad	mind
merchandise	goods	shop	sell	wares	good
meringue	pie	cake	cream	lemon	sweet
messing	about	boats	dirty	army	around
messy	untidy	dirty	mucky	pup	shit
metal	iron	steel	gold	box	cold
methylated	spirits	spirit	smell	blue	chemical
microscope	slide	small	lens	biology	science
might	strength	could	main	power	not
militant	student	students	army	soldier	angry
military	soldier	army	band	uniform	war
milking	cow	cows	machine	time	farm
mill	stone	stream	floss	flour	house
minded	narrow	watched	absent	care	cared
mine	yours	coal	gold	is	own
minerals	rocks	water	ore	ores	iron
minute	second	hour	time	small	tiny
misled	astray	lost	misguided	path	cheated
mistress	master	woman	bed	love	lover
mixture	cake	dolly	cough	compound	sweets
money	bags	cash	gold	pounds	none
monkeys	apes	zoo	animals	nuts	man
month	year	january	day	july	may
moo	cow	boo	coo	cows	milk
moonlight	night	sonata	romance	flit	love
moons	suns	stars	jupiter	ago	space
mortar	board	pestle	brick	cement	bomb
moth	butterfly	light	ball	fly	insect
motive	reason	force	murder	none	crime
mountaineering	climb	climbing	hill	high	mountains
mourning	death	black	funeral	dead	crying
murderer	death	kill	killer	knife	man
murmur	whisper	heart	mutter	mumble	sound
mushrooms	toadstools	soup	grass	food	fungi
myth	legend	story	greek	fable	tale
mythology	greek	greece	gods	legend	greeks
nadir	india	zenith	foreign	indian	name
nanny	goat	nurse	baby	granny	old
nap	sleep	kip	horse	snooze	cat
nape	neck	rape	bed	hair	head
national	international	anthem	country	flag	bank
nationality	british	english	country	scottish	race
nature	study	trees	mother	birds	lover
nauseating	sick	sickening	smell	sickness	horrible
nauseous	sick	sickening	smell	horrible	sickly
navy	blue	army	lark	sea	ship
neck	head	tie	collar	throat	arm
necklace	neck	pearl	diamond	beads	pearls
needed	wanted	necessary	want	help	loved
needle	thread	pin	eye	sharp	sew
needlework	sewing	sew	embroidery	craft	class
needs	wants	requires	must	necessities	want
needy	poor	help	money	want	hungry
negative	positive	film	no	photograph	affirmative
netting	wire	fish	fishing	goal	birds
neurology	brain	nerves	nerve	illness	science
nevertheless	however	but	why	also	although
newspaper	print	read	times	article	boy
nice	nasty	pleasant	bad	good	people
nightmares	dreams	dream	sleep	bed	horses
nimble	bread	quick	light	agile	thimble
ninety	nine	old	hundred	five	four
nip	bud	pinch	bite	drink	cold
noise	sound	loud	quiet	bang	din
noisy	loud	quiet	sound	children	room
none	nothing	some	empty	all	any
nonsense	rubbish	sense	stupid	no	psychology
noon	high	day	tide	midday	sun
nose	face	eyes	mouth	ear	eye
nostalgia	home	homesickness	memory	memories	longing
not	now	no	yes	never	is
notorious	infamous	famous	bad	criminal	known
notwithstanding	nevertheless	however	never	but	this
november	december	cold	month	rain	fifth
nowhere	somewhere	here	man	lost	anywhere
numbers	letters	figures	maths	one	many
numerous	many	lots	people	few	plenty
nurses	hospital	doctors	sex	home	uniform
oath	swear	curse	allegiance	bible	damn
objective	subjective	aim	lens	goal	correlative
obliged	must	forced	asked	duty	necessary
oblong	square	shape	rectangle	round	long
obstinate	stubborn	mule	awkward	donkey	ass
occasionally	sometimes	often	seldom	rarely	frequently
occur	happen	event	often	perfume	today
occurs	happens	happen	often	sometimes	now
ocean	sea	liner	atlantic	blue	deep
octaves	music	notes	piano	scales	eight
octopus	eight	legs	tentacles	fish	sea
oesophageal	throat	food	tube	dictionary	fistula
offspring	child	children	young	baby	kids
oily	greasy	grease	rag	water	hair
ointment	cream	lotion	liniment	medicine	burn
olive	oil	green	tree	branch	drink
omelette	egg	eggs	cheese	mushroom	pan
only	one	alone	lonely	also	but
opener	tin	can	bottle	batsman	beer
opposing	against	opposite	team	force	party
opposite	same	sex	across	different	side
oppression	depression	freedom	tyrant	anger	heaviness
orders	commands	army	obey	soldier	command
ordinary	usual	plain	common	degree	normal
ore	iron	gold	metal	mine	am
organic	chemistry	compound	material	matter	biology
organism	amoeba	body	living	life	bug
original	new	first	painting	sin	novel
orphan	child	alone	annie	boy	home
outing	trip	picnic	excursion	sunday	car
overtake	car	pass	cars	speed	road
owed	money	debt	borrowed	nothing	paid
own	mine	have	possess	property	car
owner	car	occupier	property	house	possession
ox	cow	tail	ass	cart	oxo
pace	speed	maker	step	fast	run
pack	cards	horse	wolves	bag	lunch
pail	bucket	water	white	spade	ale
pal	friend	dog	mate	chum	meat
palms	hands	trees	hand	tree	desert
pan	frying	pot	handle	peter	fry
pans	pots	frying	kitchen	dishes	out
pant	breath	puff	breathe	gasp	run
panther	black	cat	animal	tiger	lion
pantry	food	larder	kitchen	cupboard	cakes
pants	trousers	knickers	breathes	legs	vest
papers	news	exams	books	exam	documents
paradise	lost	heaven	island	bird	hell
parasite	flea	worm	insect	leech	bug
parched	dry	thirst	thirsty	throat	desert
parish	church	priest	council	boundary	minister
park	bench	car	green	grass	lane
paroxysm	fit	spasm	rage	sex	what
particularly	especially	specially	good	special	nice
pass	fail	by	out	overtake	exam
passing	by	time	going	water	out
pat	dog	back	girl	butter	hand
pathetic	poor	sad	weak	hopeless	sympathetic
paths	roads	ways	woods	trees	walk
pattern	design	dress	material	shape	knitting
pause	stop	wait	menopause	think	break
pavement	road	stone	street	sidewalk	walk
pay	money	up	give	me	wage
pea	pod	soup	shooter	green	nut
peach	fruit	melba	cream	pear	apple
peanuts	monkeys	salt	butter	cartoon	monkey
peasants	poor	farmers	fields	people	pheasants
pebbles	beach	stones	sand	sea	stone
peculiar	odd	strange	funny	queer	person
pedal	bike	bicycle	cycle	foot	bin
pedlar	beggar	bike	tinker	tramp	wares
peel	orange	john	lemon	apple	off
peg	clothes	hole	leg	line	square
pence	money	pounds	shillings	new	shilling
penguin	book	bird	biscuit	books	ice
peninsula	island	italy	spain	sea	land
penis	sex	male	man	prick	vagina
people	crowd	places	men	fun	me
perception	see	seeing	sight	eyes	psychology
perfect	imperfect	christine	good	ideal	right
perform	act	do	play	well	circus
permanence	always	temporary	forever	ever	lasting
persian	carpet	rug	cat	gulf	lamb
persists	continues	insists	lasts	stays	continue
personal	mine	private	own	letter	me
personality	character	test	complex	cult	me
perspex	glass	plastic	clear	window	see
persuaded	made	convinced	forced	urged	argue
pest	nuisance	insect	fly	control	fowl
pew	church	seat	smell	hard	stink
philosophy	thought	science	student	art	bore
phoney	false	fake	unreal	baloney	people
physician	doctor	quack	medicine	surgeon	chemist
pickers	fruit	choosers	hop	knickers	strawberries
pickle	onion	onions	jar	cheese	jam
picture	frame	painting	book	card	gallery
pier	sea	brighton	southend	blackpool	boat
pies	meat	pork	apple	hot	steak
pig	sty	dirt	sow	animal	bacon
pillow	bed	sleep	case	soft	cushion
pincer	crab	movement	pliers	claw	tweezer
pins	needles	needle	cushion	prick	blood
pint	beer	milk	mug	bitter	blood
pip	orange	apple	squeak	telephone	dickens
piping	hot	lead	music	icing	scotland
plague	black	death	bubonic	disease	rats
plaice	fish	chips	cod	sole	flat
plaintive	cry	sad	defendant	guilty	complain
plan	map	architect	campaign	elevation	house
planes	boats	air	fly	noise	sky
plank	wood	walk	board	ship	building
plankton	sea	fish	food	weed	whale
plantation	rubber	trees	cotton	sugar	tobacco
plastic	bag	mac	cup	bucket	fantastic
plate	saucer	cup	food	knife	glass
platform	station	train	ticket	speaker	stage
play	game	games	time	work	school
plaything	toy	doll	girl	ball	teddy
pleasure	pain	fun	happiness	happy	joy
pleats	skirt	hair	dress	skirts	folds
plug	hole	bath	spark	socket	pull
plums	fruit	custard	jam	prunes	stones
plunge	dive	water	swim	down	deep
pollen	flower	bees	bee	count	grain
pond	water	fish	duck	ducks	lake
ponder	think	wonder	thought	upon	anew
ponds	fish	water	lakes	cream	ducks
pony	horse	tail	ride	trek	trap
poor	rich	man	old	poverty	cow
poorly	ill	sick	badly	well	bed
porcelain	china	dish	pot	vase	cup
pores	skin	holes	sweat	open	dirt
pork	pie	pig	chop	meat	chops
porpoise	fish	dolphin	sea	animal	water
porter	station	lodge	man	railway	carrier
possessive	mine	selfish	jealous	mean	mother
possibly	perhaps	maybe	not	probably	yes
postcard	stamp	holiday	letter	picture	holidays
potash	chemical	sodium	potassium	garden	caustic
potatoes	chips	spuds	food	eat	ireland
pots	pans	flowers	money	plants	chamber
potty	mad	daft	baby	nuts	silly
pouch	kangaroo	pocket	tobacco	bag	purse
power	game	strength	black	force	house
prairie	dog	wheat	cowboy	america	canada
pray	god	church	kneel	knees	beg
prayer	god	church	book	bible	hope
precipitate	chemistry	rain	fall	start	hurry
precise	exact	accurate	clear	neat	concise
pregnancy	baby	test	children	fat	woman
pregnant	woman	baby	swollen	fat	mother
premises	house	shop	building	buildings	property
prescription	doctor	chemist	pills	charge	medicine
preserved	jam	kept	fruit	specimen	food
press	hard	on	newspaper	down	paper
price	cost	money	tag	alan	dear
priest	church	vicar	catholic	clergy	father
prince	charming	charles	princess	queen	king
princess	prince	anne	crown	beauty	street
principles	morals	rules	none	first	high
print	paper	write	news	type	newspaper
prisoner	prison	cell	jail	war	bars
produced	made	play	by	babies	directed
profane	deep	gas	sacred	bad	blasphemy
professor	university	doctor	teacher	glasses	lecture
prolongs	lengthens	agony	extends	active	lasts
promenade	walk	sea	seaside	brighton	pier
promised	land	love	said	kept	betrothed
prompt	quick	punctual	help	now	play
propaganda	communist	leaflet	russia	news	leaflets
proper	right	correct	prim	improper	place
proposition	idea	suggestion	proposal	marriage	business
protected	safe	sheltered	guarded	shielded	defended
protestant	catholic	religion	church	christian	paisley
protocol	etiquette	manners	correct	diplomacy	business
provide	give	for	food	earn	supply
provider	giver	father	god	bread	husband
pudding	basin	pie	plum	fat	suet
pullover	jumper	sweater	wool	jersey	shirt
pupil	eye	teacher	school	child	student
pure	clean	white	impure	virgin	chaste
purse	money	string	strings	wallet	bag
pursue	chase	follow	catch	horse	after
putty	window	clay	soft	windows	glass
quality	quantity	good	street	control	mercy
quarantine	dogs	dog	illness	measles	animals
quarrel	argument	fight	argue	row	some
quenched	thirst	fire	water	hot	thirsty
quest	search	seek	zoo	adventure	find
quickly	fast	slowly	now	run	speed
quieten	down	hush	silence	calm	shush
quilt	bed	eiderdown	bedspread	blanket	down
quiz	game	question	questions	crossword	test
racing	car	horse	cars	horses	driver
racket	tennis	noise	din	fiddle	squash
radical	left	root	extreme	liberal	change
railings	fence	iron	bars	fences	green
railway	train	station	line	engine	track
rain	snow	wet	shine	sun	fall
random	sample	selection	chance	choice	number
randy	sexy	sex	andy	me	sandy
rap	knock	hit	tap	knuckles	bang
rapidly	quickly	fast	quick	speedily	swift
rash	spots	hasty	foolish	red	disease
rasp	file	berry	noise	saw	raspberry
rat	mouse	cat	catcher	race	tail
rate	speed	tax	time	fast	heart
rates	money	taxes	pay	rent	houses
rather	than	not	prefer	quite	more
rats	mice	cats	poison	tails	dirt
rays	sun	light	sunshine	sunlight	x
reaches	out	stretches	attains	stretch	grabs
reaction	time	action	chemical	quick	fast
reactor	nuclear	atomic	electricity	physics	power
realistic	true	real	practical	hard	idealistic
recently	now	soon	yesterday	lately	just
red	blue	white	green	black	flag
reeds	rushes	water	lake	river	moses
reeling	drunk	rocking	falling	fishing	dizzy
referee	football	match	whistle	game	umpire
reflections	mirror	water	mirrors	image	pool
regal	queen	royal	king	cinema	crown
relations	friends	family	aunts	cousins	relatives
relationship	love	friend	marriage	sex	sexual
relatives	friends	aunts	parents	family	aunt
relax	sleep	rest	chair	bed	easy
relaxation	sleep	rest	ease	armchair	bed
relaxing	sleep	bed	resting	sleeping	soothing
religion	god	church	christian	faith	catholic
religious	church	god	maniac	pious	catholic
remaining	left	staying	here	rest	still
remembering	forgetting	memory	forget	mind	nothing
rent	house	money	book	landlord	tear
repeat	again	bore	performance	reiterate	gun
repose	rest	sleep	relax	bed	lay
republic	ireland	france	america	plato	state
repulsive	horrible	ugly	ugh	horrid	nasty
rescue	save	help	boat	sea	lifeboat
residing	living	house	staying	home	in
responsibility	duty	age	power	care	children
responsible	person	irresponsible	mature	able	adult
reunion	meeting	meet	together	friends	joy
reverend	vicar	sir	gentleman	father	minister
revise	exams	learn	work	exam	again
rhombus	square	maths	figure	geometry	triangle
rich	poor	money	man	apartment	bourgeois
riddle	puzzle	joke	rhyme	story	solve
ridge	hill	mountain	cliff	edge	way
rifle	gun	range	shot	shoot	bullet
rigging	ship	mast	sail	boat	ropes
right	wrong	left	away	turn	wing
rightful	heir	owner	wrong	correct	good
roam	wander	about	around	country	far
robbing	thief	bank	stealing	theft	banks
rocket	moon	ship	space	sky	fuel
roof	top	house	tile	tiles	garden
round	square	about	table	circle	ball
roundabout	magic	swings	fair	road	car
rounded	ball	square	smooth	curved	corner
row	boat	line	argument	column	houses
royal	family	queen	regal	blue	king
royalty	queen	king	monarch	money	blue
rue	street	regret	road	danny	herb
rug	carpet	hearth	mat	fire	warm
rules	regulations	game	laws	break	broken
rum	drink	coke	butter	alcohol	baba
run	walk	fast	race	away	jump
rung	ladder	bell	neck	rang	ring
running	fast	walking	water	man	race
rust	iron	red	brown	car	bike
sacred	holy	church	cow	god	religious
sadness	sorrow	grief	tears	happiness	death
sail	boat	ship	yacht	wind	away
sailed	ship	yacht	boat	away	sea
sake	for	god	goodness	forsake	heavens
sales	man	shop	manager	shops	talk
sari	indian	india	dress	wog	africa
sash	cord	window	belt	orange	dress
saved	rescued	life	money	helped	bell
saxophone	instrument	jazz	band	music	player
scaffolding	building	hang	builders	build	fall
scales	weight	fish	justice	weigh	balance
scape	goat	land	escape	scrape	landscape
scar	face	wound	mark	cut	blood
scarce	rare	few	money	famine	food
scared	frightened	afraid	fear	stiff	fright
scene	play	stage	picture	country	view
scenery	view	country	green	landscape	beautiful
scientific	experiment	research	american	journal	laboratory
score	twenty	mark	cricket	football	goal
scottish	kilt	highlands	nationalist	tartan	dancing
scout	guide	boy	master	cub	car
scrap	metal	iron	fight	heap	book
scrawl	write	scribble	writing	illegible	pen
screen	film	television	test	picture	star
screws	nails	nuts	bolts	wood	turn
script	play	writer	write	writing	paper
scripture	bible	religion	lesson	god	knowledge
scrub	brush	rub	wash	floor	clean
scrubber	girl	brush	tart	whore	bird
scuff	shoe	shoes	neck	fight	mark
seaman	sailor	ship	boat	able	tar
seat	chair	bench	sit	hard	belt
sedge	hedge	grass	field	sludge	what
see	hear	blind	look	eyes	saw
seed	plant	flower	sow	grow	pod
seek	find	look	search	hide	out
seen	heard	saw	by	observed	through
seldom	often	never	rarely	rare	ever
seminar	tutorial	lecture	class	meeting	talk
sender	letter	receiver	return	post	giver
serf	slave	peasant	lord	servant	feudal
serious	grave	sad	funny	hard	accident
sermon	preacher	vicar	church	mount	preach
servility	slave	servant	humility	maid	obsequiousness
session	period	term	jam	court	time
settle	down	in	account	sit	chair
seven	eight	sisters	six	number	up
sevens	sixes	eights	rugby	cards	fives
seventy	old	seven	eighty	eight	five
severe	hard	harsh	strict	cold	bad
sexy	girl	me	women	bird	legs
shadow	dark	sun	shade	boxer	wall
shadows	dark	darkness	light	shades	black
shaggy	dog	hairy	hair	coat	breast
shaken	up	shock	stirred	accident	drink
shallow	deep	water	pool	low	pond
shanty	town	sea	song	shack	sailor
shape	form	round	size	figure	circle
shaped	curved	egg	round	cut	figure
share	stock	out	divide	part	equal
shatter	break	glass	smash	window	crash
shave	razor	beard	cut	brush	morning
shaving	cream	brush	razor	hair	beard
shed	garden	hut	tears	wood	cattle
sherbet	lemon	sweet	fountain	dab	lemons
shin	bone	leg	calf	knee	pad
shipment	cargo	goods	gold	load	arms
ships	sea	boats	sails	water	boat
shit	crap	toilet	dirt	house	bog
shod	horse	shoe	shoes	feet	ill
shoot	gun	kill	fire	dead	bang
shooters	guns	gun	pea	trouble	hill
shop	keeper	buy	store	window	assistant
shopkeeper	store	shop	grocer	goods	man
shopper	woman	buyer	basket	bag	housewife
shopping	list	bag	basket	food	spree
shore	sea	beach	line	sand	bay
short	long	tall	fat	cake	story
should	not	would	ought	could	be
shout	loud	cry	scream	yell	noise
shouting	loud	noise	yelling	calling	football
shrank	small	shrunk	fear	shrink	away
shrew	taming	mouse	animal	tame	mole
shriek	scream	cry	yell	shout	fear
shrub	bush	tree	plant	garden	green
shutter	window	camera	green	blind	close
shy	girl	quiet	timid	me	reserved
sigh	relief	tired	moan	heave	sadness
sign	here	post	name	signal	on
signature	name	sign	writing	mine	me
silky	smooth	soft	hair	dress	material
silly	stupid	billy	fool	daft	foolish
silvery	moon	gold	shiny	fish	shine
sin	evil	bad	sex	wrong	good
sine	cosine	wave	cos	without	die
sing	song	choir	along	dance	flat
single	married	double	man	alone	one
sinister	evil	black	dark	weird	eerie
sink	kitchen	swim	ship	tap	wash
sinner	saint	man	church	evil	god
siphon	soda	petrol	water	drink	liquid
sipping	tea	drink	cider	coffee	beer
sit	down	stand	still	chair	in
skate	ice	fish	rink	slide	fall
skiing	snow	holiday	slope	slopes	switzerland
skills	arts	trade	talents	abilities	art
skirt	mini	girl	dress	short	blouse
slams	door	shuts	bangs	shut	bang
slash	cut	knife	piss	blood	rip
slaughter	kill	house	blood	death	cow
sledge	hammer	snow	ride	sleigh	slide
sleek	smooth	slim	cat	shiny	slender
sleepy	tired	bed	head	joe	me
slept	bed	woke	tired	with	night
slicing	bread	cake	cutting	knife	cut
slide	slip	rule	ice	slither	children
slight	little	small	slim	thin	hurt
slippy	ice	slide	wet	greasy	eel
sloshed	drunk	pissed	beer	hit	canned
slumbers	sleep	sleeps	dreams	golden	bed
slush	snow	mud	muck	rain	mush
small	large	big	little	tall	short
smashing	time	great	super	glass	good
smelly	feet	socks	nasty	stink	nose
smile	laugh	face	please	happy	grin
smock	dress	pregnant	coat	gown	yokel
smog	fog	london	smoke	city	filth
smoker	cancer	cough	cigarettes	pipe	cigarette
smut	dirt	soot	dirty	black	colonel
snake	grass	bite	rattle	adder	venom
snarl	growl	dog	tiger	roar	teeth
snip	cut	snap	scissors	bargain	out
snob	nose	value	class	prig	bob
snooker	ball	billiards	table	balls	cue
snooty	snob	lord	snobbish	posh	nose
snort	pig	grunt	snore	nose	laugh
soak	wet	water	rain	clothes	sponge
soap	water	wash	clean	powder	suds
social	science	club	event	life	party
sofa	settee	chair	couch	cushion	seat
soft	hard	down	smooth	warm	pillow
solid	hard	liquid	object	state	fuel
solve	problem	puzzle	equation	clue	mystery
some	few	people	any	one	thing
son	daughter	father	mother	boy	child
songster	bird	singer	song	thrush	choir
soon	now	later	late	near	never
soothe	calm	comfort	heal	ache	balm
sorrow	grief	sad	joy	tears	sadness
sorry	pardon	apology	apologize	regret	sad
sought	after	found	looked	seek	find
soul	music	spirit	god	heaven	heart
sour	sweet	milk	bitter	cream	grapes
source	river	spring	beginning	start	light
southern	northern	hemisphere	region	cross	railway
sow	pig	reap	seed	cow	ear
